Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.5,0.2,50,1000,2487,1248,433,50779.42578,0.008527,
2,1000,0.5,0.2,50,1000,2427,1209,443,48984.0625,0.009044,
3,1000,0.5,0.2,50,1000,2402,1207,439,48860.72266,0.008985,
4,1000,0.5,0.2,50,1000,2450,1257,445,49762.94922,0.008942,
5,1000,0.5,0.2,50,1000,2540,1258,449,50230.65625,0.008939,0.0087397
6,1000,0.5,0.2,50,1000,2451,1271,437,49572.40625,0.008815,
7,1000,0.5,0.2,50,1000,2495,1222,434,50232.57031,0.00864,
8,1000,0.5,0.2,50,1000,2485,1257,443,49917.74609,0.008875,
9,1000,0.5,0.2,50,1000,2508,1217,408,49477.07031,0.008246,
10,1000,0.5,0.2,50,1000,2536,1249,428,51052.58203,0.008384,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.5,0.2,50,1000,2487,1248,433,50779.42578,0.008527,
2,1000,0.5,0.2,50,1000,2427,1209,443,48984.0625,0.009044,
3,1000,0.5,0.2,50,1000,2402,1207,439,48860.72266,0.008985,
4,1000,0.5,0.2,50,1000,2450,1257,445,49762.94922,0.008942,
5,1000,0.5,0.2,50,1000,2540,1258,449,50230.65625,0.008939,0.0087397
6,1000,0.5,0.2,50,1000,2451,1271,437,49572.40625,0.008815,
7,1000,0.5,0.2,50,1000,2495,1222,434,50232.57031,0.00864,
8,1000,0.5,0.2,50,1000,2485,1257,443,49917.74609,0.008875,
9,1000,0.5,0.2,50,1000,2508,1217,408,49477.07031,0.008246,
10,1000,0.5,0.2,50,1000,2536,1249,428,51052.58203,0.008384,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.5,0.2,50,1000,2487,1248,433,50779.42578,0.008527,
2,1000,0.5,0.2,50,1000,2427,1209,443,48984.0625,0.009044,
3,1000,0.5,0.2,50,1000,2402,1207,439,48860.72266,0.008985,
4,1000,0.5,0.2,50,1000,2450,1257,445,49762.94922,0.008942,0.0087397
5,1000,0.5,0.2,50,1000,2540,1258,449,50230.65625,0.008939,
6,1000,0.5,0.2,50,1000,2451,1271,437,49572.40625,0.008815,
7,1000,0.5,0.2,50,1000,2495,1222,434,50232.57031,0.00864,
8,1000,0.5,0.2,50,1000,2485,1257,443,49917.74609,0.008875,
9,1000,0.5,0.2,50,1000,2508,1217,408,49477.07031,0.008246,
10,1000,0.5,0.2,50,1000,2536,1249,428,51052.58203,0.008384,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.5,0.2,50,1000,2487,1248,433,50779.42578,0.008527,
2,1000,0.5,0.2,50,1000,2427,1209,443,48984.0625,0.009044,
3,1000,0.5,0.2,50,1000,2402,1207,439,48860.72266,0.008985,
4,1000,0.5,0.2,50,1000,2450,1257,445,49762.94922,0.008942,0.0087397
5,1000,0.5,0.2,50,1000,2540,1258,449,50230.65625,0.008939,
6,1000,0.5,0.2,50,1000,2451,1271,437,49572.40625,0.008815,
7,1000,0.5,0.2,50,1000,2495,1222,434,50232.57031,0.00864,
8,1000,0.5,0.2,50,1000,2485,1257,443,49917.74609,0.008875,
9,1000,0.5,0.2,50,1000,2508,1217,408,49477.07031,0.008246,
10,1000,0.5,0.2,50,1000,2536,1249,428,51052.58203,0.008384,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.5,0.2,50,1000,2487,1248,433,50779.42578,0.008527,
2,1000,0.5,0.2,50,1000,2427,1209,443,48984.0625,0.009044,
3,1000,0.5,0.2,50,1000,2402,1207,439,48860.72266,0.008985,
4,1000,0.5,0.2,50,1000,2450,1257,445,49762.94922,0.008942,
5,1000,0.5,0.2,50,1000,2540,1258,449,50230.65625,0.008939,0.0087397
6,1000,0.5,0.2,50,1000,2451,1271,437,49572.40625,0.008815,
7,1000,0.5,0.2,50,1000,2495,1222,434,50232.57031,0.00864,
8,1000,0.5,0.2,50,1000,2485,1257,443,49917.74609,0.008875,
9,1000,0.5,0.2,50,1000,2508,1217,408,49477.07031,0.008246,
10,1000,0.5,0.2,50,1000,2536,1249,428,51052.58203,0.008384,
